guestName,arrivalDateTime,requestedRoomType,numberOfGuests,numberOfNights,queueStatus
jack,2026-08-21T14:02,STD,2,2,WAITING
f,2026-08-26T15:30,STD,2,2,WAITING
Chong Wei,2026-08-15T09:30,FAM,4,2,WAITING
Lim Wei Heng,2026-08-15T10:00,FAM,1,3,WAITING
Eason,2026-08-18T00:12,FAM,2,2,WAITING
Jason,2026-08-18T00:19,STE,1,2,WAITING
Hason Lee,2026-08-23T15:06,STE,1,2,WAITING
Amir Hassan,2026-08-10T14:00,STD,2,2,COMPLETED
Brenda Tan,2026-08-11T15:00,STD,1,1,COMPLETED
Chan Mei,2026-08-12T15:00,STD,2,1,COMPLETED
Devi Nair,2026-08-13T15:00,STD,2,3,COMPLETED
Farid Ali,2026-08-14T15:00,DLX,2,2,COMPLETED
Grace Low,2026-08-09T10:00,STD,1,1,CANCELLED
Hafiz Omar,2026-08-09T10:15,DLX,3,2,CANCELLED
Irene Ho,2026-08-09T10:30,FAM,4,2,CANCELLED
Jason Ng,2026-08-09T10:45,STE,4,1,CANCELLED
Kelly Yap,2026-08-09T11:00,STD,2,2,CANCELLED
Bella Lim,2026-08-15T09:15,DLX,2,2,COMPLETED
Adam Wong,2026-08-15T09:00,STD,2,1,COMPLETED
Ethan Goh,2026-08-15T10:00,STD,1,3,COMPLETED
han,2026-08-21T13:50,STD,1,1,COMPLETED
Diana Lee,2026-08-15T09:45,STE,3,1,COMPLETED
